Data_Publicarii,Titlu,URL_Sursa,Sentiment_Stele,Scor_Incredere
1929/01/30 00:00:00,Brand in petroleumbronnen.,http://resolver.kb.nl/resolve?urn=MMRAZ02:000424025:mpeg21:a00034:ocr,5 stars,0.434297114610672
1929/07/31 00:00:00,"BERICHTEN, OPGENOMEN IN DE LAATSTE EDITIE VAN ONS VORIG NUMMER. DE PETROLEUMBRAND TE MORENI. 4 Arbeiders door een ontploffing gedood.",http://resolver.kb.nl/resolve?urn=ddd:010532795:mpeg21:a0190:ocr,1 star,0.5955932140350342
1929/01/30 00:00:00,Petroleumbmnd,http://resolver.kb.nl/resolve?urn=ddd:010931348:mpeg21:a0007:ocr,5 stars,0.30460065603256226
1929/01/30 00:00:00,PETROLEUMBRAND IN ROEMENIE.,http://resolver.kb.nl/resolve?urn=MMUTRA04:253329025:mpeg21:a00010:ocr,1 star,0.4573117792606354
1931/11/27 00:00:00,Nieuwe petroleumbrand nabij Moreni 10 millioen lei schade,http://resolver.kb.nl/resolve?urn=MMNHA03:179165048:mpeg21:a00026:ocr,1 star,0.7914113998413086
1916/06/23 00:00:00,Astra Romana.,http://resolver.kb.nl/resolve?urn=MMKB23:001505142:mpeg21:a00084:ocr,5 stars,0.4404076635837555
1930/03/10 00:00:00,De groote petroleumbrand bij Moreni. Op de olievelden nabij Moreni is dezer dagen zooals men weet een geweldige brand uitgebroken. Bovenstaande foto werd op de plaats des onheils genomen.,http://resolver.kb.nl/resolve?urn=ddd:011169936:mpeg21:a0200:ocr,1 star,0.8152564167976379
1928/02/23 00:00:00,ASTRA ROMANA. Weder een nieuwe sonde.,http://resolver.kb.nl/resolve?urn=ddd:010658335:mpeg21:a0376:ocr,5 stars,0.43436193466186523
2003/05/23 00:00:00,Ziekenboeg,http://resolver.kb.nl/resolve?urn=KBPERS01:003573020:mpeg21:a00141:ocr,4 stars,0.2580362558364868
1930/11/08 00:00:00,Het eeuwige vuur van Moreni,http://resolver.kb.nl/resolve?urn=MMSAEN01:000050757:mpeg21:a0071:ocr,5 stars,0.31194868683815
1930/03/08 00:00:00,Het petroleumgebied van Moreni sta t opnieuw in brand. Voor honderden,http://resolver.kb.nl/resolve?urn=MMSADB01:000016058:mpeg21:a0077:ocr,1 star,0.6551512479782104
1928/05/23 00:00:00,DE ONTZAGLIJKE PETBOLEUMBRANDEN TE MORENI,http://resolver.kb.nl/resolve?urn=MMKB08:000074477:mpeg21:a0051:ocr,1 star,0.4697195589542389
1930/03/10 00:00:00,Een nieuwe petroleumbrand teistert weer het petroleumgebied van Moreni.,http://resolver.kb.nl/resolve?urn=MMWFA01:000247134:mpeg21:a00031:ocr,1 star,0.634138822555542
1928/11/27 00:00:00,ASTRA ROMANA. Bron 231 van het Moreni-veld in productie.,http://resolver.kb.nl/resolve?urn=ddd:110563301:mpeg21:a0262:ocr,5 stars,0.3473505675792694
1931/11/27 00:00:00,NIEUWE PETROLEUMBRAND BIJ MORENI.,http://resolver.kb.nl/resolve?urn=ddd:010534017:mpeg21:a0096:ocr,1 star,0.24666839838027954
1930/11/21 00:00:00,ROEMENIE De petroleumbrand te Moreni.,http://resolver.kb.nl/resolve?urn=MMKB23:001334119:mpeg21:a00047:ocr,1 star,0.46520549058914185
1930/11/21 00:00:00,jROEMENIE De petroleumbrand te Moreni.,http://resolver.kb.nl/resolve?urn=MMKB23:001334118:mpeg21:a00048:ocr,1 star,0.3006037771701813
1930/11/22 00:00:00,ROEMENIE De petroleumbrand te Moreni,http://resolver.kb.nl/resolve?urn=MMKB23:001334120:mpeg21:a00056:ocr,1 star,0.41715049743652344
