Anul,Titlu,Aspect_Detectat,Sentiment_Stele
1914,Uit de Petroleum-industrie.,GREVA,5
1929,ROEMENIE De petroleumbrand te Moreni.,FINANCIAR,1
1929,ROEMENIE De petroleumbrand te Moreni.,FINANCIAR,1
1928,EEN DAPPERE ROTTERDAMMER OMGEKOMEN.,FINANCIAR,1
1931,"in uw pijp: v. ROSSEM’s TROOST Een oliebron, die al 18 maanden in brand staat. De petroleumfakkel van Moreni. Militairen zetten den dalketel af. Een ongelukkig dorp.",ACCIDENT,1
1929,ROEMENIE. DE PETROLEUMBRAND TE MORENI. De pogingen tot blussching nog steeds tevergeefs.,ACCIDENT,2
1928,UIT DE ROEMEENSCHE PETROLEUM-INDUSTRIE. Kalme stemming. — Dagelijksche productie ca. 1100 wagons. — Vaste prijzen ruwe petroleum.,TEHNOLOGIE,5
1913,Renseignements économiques et commerciaux,FINANCIAR,4
1925,ROEMENIE.,TEHNOLOGIE,5
1925,UNIREA.,TEHNOLOGIE,5
1926,COLOMBIA. Nieuwe concessie op Moreni.,FINANCIAR,5
1931,PETROLES DE MORENI. Kapitaalsreconstructie.,FINANCIAR,1
1929,De ontzaglijke petroleumbranden bij Moreni in,TEHNOLOGIE,1
1926,STEAUA ROMANA. Bron no. 210 te Moreni verzand.,FINANCIAR,1
1931,"De beroemde petroleumsonde te Moreni (Roemenië), welker brand in September",TEHNOLOGIE,1
1929,De petroleumbrand gebluscht.,FINANCIAR,1
1925,ROMANA AMERICANA.,TEHNOLOGIE,3
1928,ASTRA ROMANA. Brand in bron Moreni 298 gebluscht.,FINANCIAR,1
1910,Petroleum in Moreni (Roemenië).,FINANCIAR,4
1929,STEAUA ROMANA. Productie bronnen 2 Moreni en 1 Ceptura.,FINANCIAR,1
1930,PETRLEUMBRANDEN. Nog een foto van de reeds sinds maanden woedende petroleum brand bij Moreni in Rumenië.,TEHNOLOGIE,1
1927,ASTRA ROMANA. Bron 289 in Moreni produceert 120 ton per dag.,TEHNOLOGIE,1
1905,De Romano-Americana.,TEHNOLOGIE,2
1922,Uit de Roameensche Petroleeumindustrie.,FINANCIAR,5
1931,ZES MILLIOEN WERKLOOZEN.,ACCIDENT,1
1930,DE PETROLEUMBRAND TE MORENI.,TEHNOLOGIE,1
1914,Astra Romana.,TEHNOLOGIE,5
1929,ROEMENIË. DE GEWELDIGE PETROLEUMERAND IN MORENI.,FINANCIAR,5
1929,DE GEWELDIGE PETROLEUMBRAND IN MORENI,TEHNOLOGIE,5
1929,GEWELDIGE PETROLEUMLRAND IN MORENI.,FINANCIAR,5
1926,De Roemeensche Petloleum-Industrie.,FINANCIAR,5
1912,Astra Romana.,TEHNOLOGIE,5
1913,"Petroleum Mij. „Astra Romana""",TEHNOLOGIE,5
1913,Uit de Petroleum-industrie.,GREVA,5
1928,UIT DE ROEMEENSCHE PETROLEUMINDUSTRIE. Heftige binnenlandsche concurrentie Prijsdaling.,FINANCIAR,1
1929,Brand in de onderwereld PETBOLEUMBRANDEN BIJ MORENI NEMEN STEEDS DREIGENDER AFMETINGEN AAN. Onderaardsch gerommei wekt ongerustheid.,TEHNOLOGIE,1
1929,Torenhooge vlammenzuilen In het petroleumgebied van Moreni woedt de brand onverminderd voort. Aardschokken verergeren den toestand,TEHNOLOGIE,1
1929,DE PETROLEUMBRAND IN MORENI. Ernstige vrees voor uitbreiding.,TEHNOLOGIE,1
1930,Petroleumbrand in Rumenië.,FINANCIAR,1
1930,De petroleumbrand in Moreni.,FINANCIAR,1
1930,De petroleumbrand te  Moreni. Groot gevaar voor uitbreiding.,TEHNOLOGIE,1
1930,ROEMENIE. DE PETROLEUMBRAND TE MORENI. Er dreigt nieuw gevaar.,TEHNOLOGIE,1
1930,"De petroleumbrand te Moreni. BOEKAREST, 3 Mei (H.N.)",FINANCIAR,1
1927,ASTRA ROMANA. Bron 258 te Moreni-Stovropoleos in het ongereede.,TEHNOLOGIE,1
1930,ROEMENIË. DE VUURSPUWENDE PETROLEUM-BRON. Nieuwe phase te Moreni.,FINANCIAR,5
1929,DE PETROLEUMBRAND TE MORENI WOEDT NOG STEEDS.,TEHNOLOGIE,1
1926,De Roemeensche petroleumindustrie.,FINANCIAR,5
1929,ROEMENIË. DE PETROLEUMBRAND IN MORENI.,TEHNOLOGIE,1
1925,Ernstige petroleumbrand in Roemenië.,TEHNOLOGIE,1
1878,"AMSTERDAM, 4 Febr. Het Nedl. stoomschip",TEHNOLOGIE,1
1930,De petroleumbrand te Moreni.,FINANCIAR,1
1916,GEMENGDE BERICHTEN.,FINANCIAR,4
1925,ALLERLEI. Roemeensche petroleumsron in brand.,FINANCIAR,1
1926,UIT DE ROEMEENSCHE PETROLEUM INDUSTRIE. Gebruik van gas.,TEHNOLOGIE,5
1928,UIT DE ROEMEENSCHE PETROLEUMINDUSTRIE. Onveranderde productie-hoogere prijzen voor lichte benzine.,TEHNOLOGIE,1
1926,De Roemeensche petroleumindustrie.,FINANCIAR,5
1927,UIT DE ROEMEENSCHE PETROLEUM-INDUSTRIE. Astra Romana.,TEHNOLOGIE,5
1912,Astra Romaiia.,TEHNOLOGIE,5
1929,PETROLEUMBRAND IN MORENI.,FINANCIAR,1
1930,Een reusachtige brand woedde in de petroleumbronnen van Moreni.,TEHNOLOGIE,1
1928,Bron 30 Moreni der Concordia in werking.,FINANCIAR,5
1928,Bron 30 Moreni der Concordia in werking.,FINANCIAR,5
1930,PETROLEUMBRAND BIJ MORENI BAART NIEUWE ZORG.,FINANCIAR,5
1925,ROEMEEENSCHE PETROLEUMNIJVERHEID. Een nieuwe bron der Concordia. – De brand op het Moreni-terrein.,TEHNOLOGIE,5
1926,ROEMEENSCHE PETROLEUMINDUSTRIE. Nieuwe concessies te Moreni-Noord en te Mislea verleend.,TEHNOLOGIE,1
1929,De ontzaglijke petroleumbranden bü Moreni ia  Roemenië hebben enorme schade aangericht. De vlamkolommen stegen tot 500 voet hoogte,TEHNOLOGIE,1
1929,De ontzaglijke petroleumbranden bij Moreni in Roemenië hebben enorme schade aangericht. De vlamkolommen stegen tot 500 voet boogte,TEHNOLOGIE,1
1929,ROEMENIË DE PETROLEUMBRAND. De brand gebluscht.,ACCIDENT,1
1925,PETROLEUMBRAND IN ROEMENIË. Het dorp Moreni in vlammen. DE BRANDENDE BRON ZAL WORDEN DICHTGESCHOTEN.,TEHNOLOGIE,1
1931,"SPOORWEGONGELUKKEN. — In het Rumeensche petroleumcentrum Moreni, reden twee petroleumtreinen op elkaar en vlogen in brand. Weer 14 dooden.",ACCIDENT,1
1927,De Roemeensche petroleum-industrie.,FINANCIAR,5
1912,Uit de Petroleumindustrie.,GREVA,5
1929,UIT DE ROEMEENSCHE PETROLEUMINDUSTRIE. Steaua Romana.,FINANCIAR,5
1924,BUITENLAND. Phcenix Oil.,FINANCIAR,5
1927,ASTRA ROMANA. Nieuwe Sonde.,TEHNOLOGIE,5
1927,STEAUA ROMANA. Bron aangeboord.,FINANCIAR,5
1919,Astra Romana.,TEHNOLOGIE,5
1917,Steaua Romana.,FINANCIAR,5
1929,Ongeluk met een ketel.,TEHNOLOGIE,1
1914,PETROLEUMBRON,TEHNOLOGIE,5
1925,GROOTE PETROLEUMBRAND. In de petroleumvel.,FINANCIAR,1
1930,DE ROEMEENSCHE PETROLEUMINDUSTRIE.,TEHNOLOGIE,5
1959,Expositie Kunstkring,ACCIDENT,4
1929,De ontzaglijke petroleumbranden bjj Moreni in,FINANCIAR,1
1929,De ontzaglijke petroleumbranden bij Moreni in,TEHNOLOGIE,1
1929,WAAR DE AARDE BRANDT. Bij Moreni (Roemenie) is een enorme petroleumbrand uitgebroken; een «teekvlam van tientalten meten hoogte schiet uit den boorput omhoog.,TEHNOLOGIE,1
1932,PETROLEUMBRAND.,TEHNOLOGIE,5
1932,FINANCIEEL NIEUWS Petroleum-industrie.,FINANCIAR,4
1939,BENZINE IN BRAND,FINANCIAR,5
1912,Astra Romana.,TEHNOLOGIE,5
1920,Astra Romana.,TEHNOLOGIE,5
1925,Steaua Romana.,FINANCIAR,5
1925,De petroleumband in Roemenië.,ACCIDENT,5
1929,ASTRA ROMANA. Nieuwe sonde.,TEHNOLOGIE,5
1930,SERVICE PETROLEUM.,TEHNOLOGIE,5
1937,DRIE ARBEIDERS BIJ ONTPLOFFING GEDOOD.,GREVA,1
1930,"EEN NIET TE STUITEN BRAND. Een foto van den  petroleumbrand te Moreni (Rumenië), die reeds sedert  eenige maanden onverminderd woedt en niet te  bedwingen is.",TEHNOLOGIE,1
1937,ONTPLOFFING TE MORENI,TEHNOLOGIE,1
1930,Petroleum-brand.,FINANCIAR,5
1928,STEAUA ROMANA. Productie bron 33 Moreni.,FINANCIAR,1
1927,Petroleumbrand in Roemenië.,FINANCIAR,1
1928,ASTRA-ROMANA. Productie.,TEHNOLOGIE,5
1932,ROEMENIE Petroleumbrand.,FINANCIAR,1
1925,Uit de Roemeensche petroleumindustrie.,GREVA,5
1927,UIT DE ROEMEENSCHE PETROLEUM-INDUSTRIE. Steaua Romana.,TEHNOLOGIE,5
1926,ASTRA ROMANA. Brandende bronnen.,FINANCIAR,1
1928,STEAUA ROMANA. Nieuwe sonde.,TEHNOLOGIE,5
1928,ASTRA ROMANA. Brand gebluscht.,ACCIDENT,1
1928,STEAUA ROMANA. Productie.,TEHNOLOGIE,5
1913,Uit do Petroleum-industrie.,GREVA,5
1929,Machteloos! De brandende petroleum van Moreni.,TEHNOLOGIE,1
1911,Petroleumproductie.,GREVA,5
1914,Astra Romana.,TEHNOLOGIE,5
1914,Uit de Petroleum-industrie.,GREVA,5
1924,Uit de Roemeensche Petroleum* industrie.,FINANCIAR,5
1911,Uit de petroieum-industrie.,GREVA,5
1929,De brandende bron. Sinds drie maanden raast het vunr in de petroleum. Wanhopige toestand der omwonenden,TEHNOLOGIE,1
1914,Uit de Petroleumsndustrie.,TEHNOLOGIE,5
1913,Uit de Petroleum-Industrie.,GREVA,5
1914,Uit de Petroleumindustrie.,GREVA,5
1914,Uit de Petroleumindustrie.,GREVA,5
1914,Uit de Petroleumindustrie.,GREVA,5
1913,Petroleum.,FINANCIAR,5
1913,Uit de Petroleumindustrie.,GREVA,5
1915,Uit de Petroleum-Industrie.,GREVA,5
1915,Uit de Petroleum-industrie.,GREVA,5
1925,DE KLEINE LEIDSCHE LUCHTREIZIGER. - DE SCHOUWBURG TE HEERLEN - GROOTF PETROLEUMBRAND,TEHNOLOGIE,1
1913,"Petroleum Mij. „Orion"".",FINANCIAR,3
1927,Petroleumbronnen in brand.,FINANCIAR,1
1928,"Een foto vaneen geweldigen brand, welke in de olievelden van Moreni (Roemenië) heeft gewoed. Rechts op den voor-",FINANCIAR,1
1937,Explosie in Petroleum-Pompstation 3 DOODEN EN 10 GEWONDEN,ACCIDENT,1
1925,DE PETROLEUMBRAND IN ROEMENIë.,TEHNOLOGIE,1
1928,"Een foto van een geweldigen brand, welke in de olievelden van Moreni (Roemenië) heeft gewoed. Rechts op den voor",FINANCIAR,1
1929,DE BRAND IN DE OLIEVELDEN VAN MORENI,FINANCIAR,1
1929,DE BRAND IN DE OLIEVELDEN VAN MORENI,FINANCIAR,1
1914,Uit de Petroleumindustrie.,GREVA,5
1925,DE KLEINE LEIDSCHE LUCHTREIZIGER. – DE SCHOUWBURG TE HEERLEN – GROOTE PETROLEUMBRAND,TEHNOLOGIE,1
1927,PETROLEUMBRONNEN IN BRAND. 17 DOODEN.,TEHNOLOGIE,1
1906,De Koninklijke en de Rumeensche Potroleum-Industrie.,FINANCIAR,5
1916,Aitra Romana.,FINANCIAR,4
1931,nieuwe petroleumbrand bij morene,TEHNOLOGIE,1
1930,Uit de petroleumwereld.,GREVA,5
1937,Als de aarde brandt.,TEHNOLOGIE,1
1926,ASTRA ROMANA. Bron no. 104 te Moreni aangeboord.,TEHNOLOGIE,1
1926,CRÉDIT MINIER. Bron no. 24 te Moreni aangeboord.,FINANCIAR,1
1929,"STOOMKETEL ONTPLOFT, 10 DOODEN",TEHNOLOGIE,1
1925,VAN DE 3.OCTOBER. VIERING TE LEIDEN – DE SCHOUWBURG TE HEERLEN – GROOTE PETROLEUMBRAND,TEHNOLOGIE,1
